編號,成語,釋義,用法說明-語義說明,三歲版解釋
184,苦口婆心,"「苦口」，不辭辛苦的反覆規勸。＃語出《宋史．卷二五六．趙普列傳》。「婆心」，像老婆婆那樣慈愛的心腸。語出《景德傳燈錄．卷一二．鎮州臨濟義玄禪師》。「苦口婆心」形容以懇切真摯的態度，竭力勸告他人。
△「語重心長」",形容以懇切真摯的態度，竭力勸告他人。,用很耐心、關心的態度，一次又一次熱心勸別人，是為了對方好。
185,比比皆是,"比比，每每、頻頻。「比比皆是」形容到處都是。語本《戰國策．秦策一》。
△「比肩皆是」、「摩肩接踵」、「觸目皆是」",形容到處都是。,表示某種事物或現象到處出現，隨處都能看到很多。
186,顛沛流離,"「顛沛」，比喻世道衰亂或人事挫折。語出《論語．里仁》。「流離」，流亡離散。◎語出《漢書．卷二四．食貨志上》。「顛沛流離」形容生活困迫不安，四處流浪。
△「百六之會」、「流離失所」、「陽九之阸」",形容生活困迫不安，四處流浪。,過得很辛苦、不安定，常常流浪，沒有地方住。
187,雷厲風行,"像打雷般猛烈，如颳風般快速。比喻政令執行嚴格迅速。※＃語或本《易經．復卦》三國魏．王弼．注。後用「雷厲風行」比喻人行事嚴格迅速。
△「大刀闊斧」",比喻人行事嚴格迅速。,指做事非常果斷又快速，嚴格執行決定不拖延。
188,十拿九穩,"拿：握持。穩：穩當。比喻很有把握。※語或出明．阮大鋮《燕子箋》第七齣。
△「萬無一失」",比喻很有把握。,做某件事很有把握，幾乎不會出錯，成功的機會很大。
189,寡廉鮮恥,"缺乏廉恥之心。比喻不知羞恥。語出漢．司馬相如〈喻巴蜀檄〉。
△「恬不知恥」、「義無反顧」",比喻不知羞恥。貶義。,做錯事也不會覺得丟臉，沒有羞恥心，常做不對的事。
190,模稜兩可,"「模稜兩可」之「模」，典源作「摸」。「摸」，通「模」。「模稜兩可」摸物稜角兩端，摸那一端都可以。比喻處理事情的態度含混，不表示明確的意見或主張。語本《舊唐書．卷九四．蘇味道列傳》。
△「不置可否」",比喻處理事情的態度含混，不表示明確的意見或主張。,遇事態度模糊，說話不清楚，不表明支持或反對。
191,充耳不聞,"塞住耳朵，裝作沒聽見。※語或本《詩經．邶風．旄丘》鄭玄．箋。後用「充耳不聞」形容拒絕或不願聽取別人意見。
△「不聞不問」",裝作沒聽見。＆形容拒絕或不願聽取別人意見。,故意裝作沒聽到別人說的話，不想接受別人的意見。
192,蠢蠢欲動,"像蟲子一樣扭曲著身軀欲有所行動。比喻人意圖為害作亂。語本《左傳．昭公二十四年》。
△「躍躍欲試」",比喻人意圖為害作亂。,有人在暗中蠢動，準備做壞事或擾亂秩序呢。
193,聽天由命,"任憑天意及命運而自然發展。語本漢．孔臧〈鴞賦〉。
△「聽其自然」",形容任憑天意及命運而自然發展。,不再強求，放手讓事情照著自然發展，由命運安排。
194,大腹便便,"大肚子顯得肥胖而凸出的樣子。＃語本晉．司馬彪《續漢書》。
△「腦滿腸肥」",大肚子顯得肥胖而凸出的樣子。,肚子又大又圓，從外面看起來鼓鼓的，好像鼓起來的肚皮。
195,聲名狼藉,"「聲名狼藉」之「藉」，典源作「籍」。「籍」通「藉」。指肆意妄為，名聲惡劣。語本《史記．卷八八．蒙恬列傳》唐．司馬貞．索隱。
△「身敗名裂」",指肆意妄為，名聲惡劣。,因為常做壞事、亂來，大家都討厭他，名聲很差。
196,探囊取物,"伸手到袋子裡拿取東西。比喻事情極容易辦到。語本《新五代史．卷六二．十國世家．南唐世家》。
△「甕中捉鱉」",比喻事情極容易辦到。,把手伸進袋子就能拿到東西，表示一件事很容易辦到。
197,處心積慮,"千方百慮，蓄意已久。語出《穀梁傳．隱公元年》。
△「挖空心思」",千方百慮，蓄意已久。,長時間常常想很多辦法，用心計畫要完成一件事。
198,呆若木雞,"木雞，木頭製成的雞，任何情況下皆紋風不動，比喻修養深厚、態度沈穩。語本《莊子．達生》。後用「呆若木雞」形容愚笨或受驚嚇而發愣的樣子。
△「木雞養到」、「目瞪口呆」",形容愚笨或受驚嚇而發愣的樣子。,被嚇到或愣住，像木頭做的雞，完全不動，眼神呆滯。
199,以鄰為壑,"將鄰國當作渲洩洪水的溝壑。語本《孟子．告子下》。後用「以鄰為壑」比喻將困難和災禍推到別人身上。
△「嫁禍於人」",比喻將困難和災禍推到別人身上。貶義。,把自己的麻煩或錯誤推給別人，讓別人受苦受氣。
200,言簡意賅,"賅，兼備。「言簡意賅」指言辭簡單而意思完備。語本宋．張載《張子全書．卷六．義理》。
△「要言不煩」",言辭簡單而意思完備。,說話或寫東西很簡短，重點都講清楚沒多餘的話
201,積重難返,"長期累積成的不良習慣與弊病，難以改正。※語或出明．張居正〈陳六事疏〉。
△「根深蒂固」",長期累積成的不良習慣與弊病，難以改正。,長時間養成的壞習慣和問題，不容易改變，要下很大功夫。
202,標新立異,"新的獨到見解，與諸家立論不同。◎語本南朝宋．劉義慶《世說新語．文學》。後用「標新立異」形容創立新奇的名目或主張，以表示與眾不同。
△「立奇造異」、「獨樹一幟」",形容創立新奇的名目或主張，以表示與眾不同。,做出很新奇、和別人不一樣的想法或做法，想引人注意。
203,來龍去脈,"本是堪輿家用以形容山脈河流走向的術語，後用以比喻事情的首尾始末。※語或出明．無名氏《運甓記》第一三齣。
△「前因後果」",堪輿家用以形容山脈河流走向的術語。＆比喻事情的首尾始末。,把一件事從開始到結束的原因和經過講清楚給別人。
204,櫛風沐雨,"以風梳髮，以雨沐浴。語本《莊子．天下》。後用「櫛風沐雨」比喻在外奔走，極為辛勞。
△「風餐露宿」",比喻在外奔走，極為辛勞。,在外面奔波勞累，常被風吹淋雨，身體很辛苦。
205,所向披靡,"風吹到的地方，草木立即伏倒。比喻力量所到之處，敵人紛紛潰敗逃散。＃語本《史記．卷七．項羽本紀》。
△「所向無敵」",比喻力量所到之處，敵人紛紛潰敗逃散。,形容一個人或隊伍很厲害，去到哪裡對手都被打敗或跑掉。
206,海底撈針,"在大海中尋找一根細小的針。比喻東西很難找到或事情很難做到。※＃語或本元．吳昌齡《二郎收豬八戒》第二折。
△「水中撈月」",比喻東西很難找到或事情很難做到。,好像在大海底下找一根很小的針，幾乎找不到也很難辦到。
207,栩栩如生,"栩栩，生動可喜的樣子。語本《莊子．齊物論》。後用「栩栩如生」形容貌態逼真，彷彿具有生命力。
△「活龍活現」、「莊周夢蝶」、「維妙維肖」、「躍然紙上」",貌態逼真，彷彿具有生命力。,看起來非常真實，好像有生命會動一樣，讓人覺得很神奇。
208,惡貫滿盈,"貫，本指以線穿錢，錢滿一貫，就不能增加，稱為滿貫。此處指惡行「累積」，《廣雅．釋詁一》︰「貫，累也。」罪惡累積，已達滿溢的程度。比喻罪大惡極，末日已到。＃語本《書經．泰誓上》。
△「罪大惡極」",比喻罪大惡極，末日已到。,壞事做太多，已經堆滿，遲早會被抓到處罰了。
209,朝秦暮楚,"（一）「朝秦暮楚」之「暮」，典源作「莫」。「莫」為「暮」的本字。戰國時之小國，時而事秦，時而事楚，反覆無常。語出宋．晁補之〈海陵集序〉。後用「朝秦暮楚」比喻人心反覆無常。
△「反覆無常」、「出爾反爾」、「朝三暮四」、「朝梁暮陳」
（二）「朝秦暮楚」之「暮」，典源作「莫」。「莫」為「暮」的本字。早上還在秦國，晚上卻已在楚國。比喻人東飄西蕩，行蹤無定。語出宋．晁補之〈北渚亭賦〉。
△「朝吳暮楚」",比喻人心反覆無常。貶義。＆比喻人東飄西蕩，行蹤無定。,常常改變主意，早上跟這邊，晚上又跟那邊，讓人不敢信任。
210,斬草除根,"將雜草連根拔除。比喻除去禍根，不留後患。語本《左傳．隱公六年》。
△「除惡務盡」、「趕盡殺絕」",比喻除去禍根，不留後患。,把會造成麻煩的根源徹底清除，不讓它以後再出現問題。
211,喜出望外,"望外，意想不到。「喜出望外」指因意想不到的事感到欣喜。語出宋．蘇軾〈與李之儀書〉五首之二。
△「大喜過望」、「喜從天降」",因意想不到的事感到欣喜。,遇到沒想到的好事，覺得驚訝又很開心，笑得停不下來。
212,花言巧語,"形容虛假而動聽的言語。語出《朱子語類．卷二○．論語．學而篇》。
△「甜言蜜語」",形容虛假而動聽的言語。,用好聽但不真誠的話騙人，讓人信任或照他說的去做。
213,垂頭喪氣,"低垂著頭，意氣消沉。形容失意沮喪的樣子。※＃語或出唐．韓愈〈送窮文〉。
△「灰心喪氣」、「面目可憎」",形容失意沮喪的樣子。,垂頭喪氣是低著頭，沒有精神，覺得很難過或失望的樣子。
214,流連忘返,"貪戀沉迷而不願離去。語本《孟子．梁惠王下》。
△「流宕忘反」、「流遯忘反」、「樂而忘返」",貪戀沉迷而忘了回去。,因為太喜歡或玩得很開心，一直待著不想走，忘了回家。
215,隨機應變,"隨著時機和情況的變化而靈活應付。＃語出《舊唐書．卷八三．郭孝恪列傳》。
△「見風使舵」、「見機行事」、「隨時應變」",隨著時機和情況的變化而靈活應付。,碰到情況變了，就換方法，想出能解決問題的辦法來。
216,分庭抗禮,"「分庭抗禮」之「抗」，典源作「伉」，對等、匹敵之義。「分庭抗禮」指分處庭中，相對設禮，以平等的禮節相見。比喻地位相當。語本《莊子．漁父》。後亦用「分庭抗禮」比喻兩者對立。
△「平起平坐」",以平等禮節相待。＆比喻兩者對立。,兩邊地位一樣，用平等的禮貌互相對待，也可以指雙方互相對立。
217,應接不暇,"暇，空閒。「應接不暇」形容景物繁多，來不及觀賞。語出南朝宋．劉義慶《世說新語．言語》。後亦用「應接不暇」比喻事情繁忙，難以應付。
△「目不暇給」",形容景物繁多，來不及觀賞。＆比喻事情繁忙，難以應付。,東西或事情太多，來不及一個一個處理，忙不過來。
218,鞠躬盡瘁,"「鞠躬」，彎身以示敬慎。語出《論語．鄉黨》。「盡瘁」，竭盡辛勞。語出《詩經．小雅．北山》。「鞠躬盡瘁」意謂恭謹戒慎，不辭勞病地貢獻心力。或以為典故出自三國蜀．諸葛亮〈後出師表〉。
△「摩頂放踵」",比喻恭敬謹慎，不辭勞病地貢獻心力。,很認真、很恭敬地把全部心力都用來幫忙，累了也不放棄。
219,愛莫能助,"指內心雖然同情，想要幫助卻無能為力。語本《詩經．大雅．烝民》。
△「心有餘而力不足」、「愛莫之助」",內心雖然同情，想要幫助卻無能為力。,很想幫忙但沒能力幫，心裡很難過又很著急。
220,洗耳恭聽,"洗乾淨耳朵恭敬地聆聽，比喻專心恭敬地聆聽。※＃語或出元．鄭廷玉《楚昭公》第四折。
△「傾耳而聽」",比喻專心恭敬的聆聽。,把耳朵洗乾淨似的，認真又恭敬地聽別人說話
221,不勝枚舉,"勝，音ㄕㄥ，盡。枚，一個一個的。「不勝枚舉」指事物太多，不能一一舉出。＃語本宋．王楙《野客叢書．卷三九．俗語有所自》。
△「不可勝數」",事物太多，不能一一舉出。,表示東西或事情太多，無法一個一個列出來說明。
222,不知所措,"「不知所措」之「措」，典源作「錯」。「錯」通「措」。「不知所措」形容人惶恐不安，不知道怎麼辦才好。＃語本《管子．七臣七主》。
△「手足無措」、「六神無主」",形容人惶恐不安，不知道怎麼辦才好。,遇到突發狀況感到很慌張，不知道該怎麼做或說什麼好。
223,美不勝收,"勝，音ㄕㄥ，盡。「美不勝收」形容美好的事物太多，無法盡收眼底。※語或出清．袁枚《隨園詩話》卷三。
△「美不勝書」、「琳琅滿目」",形容美好的事物太多，無法盡收眼底。,漂亮的東西太多，看不完也看不過來，眼睛忙不過來。
224,絕無僅有,"只此一個，絕無其他。形容極為稀少。※語或出宋．蘇軾〈上神宗皇帝書〉。
△「獨一無二」",形容極為稀少。,意思是只有這一個，沒有別的，很少見、很難找到。
225,另眼相看,"以特別的眼光或態度相待，以示重視或歧視。※＃語或出《初刻拍案驚奇》卷八。
△「刮目相看」",以特別的眼光或態度相待，以示重視或歧視。,用不一樣的眼光看一個人，表示很在乎或不喜歡他。
226,隔岸觀火,"在河水對岸看火災。※語或本清．梁啟超〈呵旁觀者文〉。比喻事不干己，袖手旁觀，漠不關心。
△「見死不救」",比喻事不干己，袖手旁觀，漠不關心。,在遠處看別人遇到麻煩，什麼也不做也不幫忙。
227,雷霆萬鈞,"比喻威力強大，勢不可擋。語本漢．賈山〈至言〉。
△「排山倒海」",比喻威力強大，勢不可擋。,形容力量非常強大，擋不住，會把前面的東西都推倒或打壞。
228,巧奪天工,"雖然是人工所製，但是精巧勝過天然。形容技藝巧妙。語本晉．郭璞《葬書．外篇》。
△「出神入化」、「鬼斧神工」",形容技藝巧妙。褒義。,人做的東西很精巧，比大自然還美，手藝很好。
229,萬紫千紅,"形容百花盛開，色彩絢麗的景象。語出宋．邵雍〈落花吟〉詩。後用「萬紫千紅」比喻事物豐富而多采多姿。
△「奼紫嫣紅」",形容百花盛開，色彩絢麗的景象。＆比喻事物豐富而多采多姿。,說的是春天很多不同的花開，顏色鮮豔又熱鬧，很好看。
230,當機立斷,"當下立刻作出決斷，毫不遲疑。語本三國魏．陳琳〈答東阿王牋〉。
△「毅然決然」",當下立刻作出決斷，毫不遲疑。,遇到重要時刻要立刻下決定，不拖延也不猶豫。
231,綽綽有餘,"「綽綽有餘」之「有餘」，典源作「有裕」。綽綽，寬裕貌。指恩義情厚。語本《詩經．小雅．角弓》。後用「綽綽有餘」形容各方面非常寬裕，足以應付所需。
△「遊刃有餘」、「綽有餘地」、「綽有餘裕」",形容各方面非常寬裕，足以應付所需。,有很多，夠用而且還剩下，能輕鬆應付需要喔。
232,放蕩不羈,"「放蕩」，放縱，行為不加檢束。語出《漢書．卷六五．東方朔傳》。「不羈」，不受拘束。語出《史記．卷八三．魯仲連鄒陽列傳．鄒陽》。「放蕩不羈」原指豪放而不受拘束。後用以形容行為放縱隨便，不加檢點。
△「不拘形跡」、「牛驥同皁」、「放浪形骸」",指豪放而不受拘束。＆形容行為放縱隨便，不加檢點。貶義。,指人不顧規矩、行為放縱，常常亂來不檢點。
233,漫不經心,"「漫不經心」的「心」典源作「意」，「心」與「意」意同。是隨隨便便，不加留意的意思。語本宋．陳亮〈與徐大諫書〉。
△「漠不關心」",隨隨便便，不加留意。,做事很隨便、不用心，沒仔細看或注意，常會出錯。
234,咎由自取,"所有的罪過、災禍都是自己造成的。＃語本《三國志．卷四○．蜀書．劉彭廖李劉魏楊傳》。
△「自取其咎」、「罪有應得」",所有的罪過、災禍都是自己造成的。,做錯事或不小心，發生的麻煩都是自己造成，要負責。
235,醉生夢死,"像在酒醉和睡夢中那樣醉醺醺、昏沉沉地過日子。形容生活目的不明確，過得糊裡糊塗。語出宋．程頤〈明道先生行狀〉。
△「花天酒地」",比喻人糊裡糊塗或頹廢消沉地活著。貶義。,整天像喝醉或睡迷糊，沒目標，生活糊塗又消沉。
236,豁然貫通,"因對事理領悟通曉，而能全盤理解。語出宋．朱熹《四書章句集注．大學章句．五章》。
△「恍然大悟」",因對事理領悟通曉，而能全盤理解。,突然整個想通，原來事情的各部分都連在一起，我都明白了。
237,夙興夜寐,"早起晚睡。形容終日勤勞。◎語出《詩經．衛風．氓》。
△「宵衣旰食」",形容終日勤勞。,早早起床，晚晚睡覺，整天努力工作或讀書，很用心也很辛苦。
238,鉤心鬥角,"形容宮室建築的結構精緻巧妙。語出唐．杜牧〈阿房宮賦〉。後用「鉤心鬥角」比喻詩文的布局結構精心巧製，爭奇鬥勝。亦用於比喻競鬥心機，刻意經營。
△「明爭暗鬥」、「爾虞我詐」",比喻競鬥心機，刻意經營。,兩方暗中互相算計、想辦法比誰更占便宜，氣氛很緊張。
239,顛撲不破,"無論怎麼摔打都不破。比喻理論真確可靠，永遠不能被改易或推翻。◎語出宋．朱熹〈與張欽夫書〉其二。
△「牢不可破」",比喻理論真確可靠，永遠不能被改易或推翻。,不管怎麼摔打都破不了，意思是這個道理很可靠，改不掉。
240,聲淚俱下,"邊說邊哭。形容極度悲慟、激動。語出《晉書．卷七六．王廙列傳》。
△「血淚俱下」、「痛哭流涕」",形容極度悲慟、激動。,一邊說話一邊哭，心情很難過，淚水不停流下。
241,老奸巨猾,"「老奸巨猾」之「奸」，典源作「姦」。「姦」，義同「奸」。形容人世故老練、極為奸詐狡猾。語本《資治通鑑．卷二一四．唐紀三○．玄宗開元二十四年》。
△「老謀深算」、「深奸巨猾」",形容人世故老練、極為奸詐狡猾。貶義。,指一個人很會算計、很會騙人，做事用心不良，不可信任。
242,汗馬功勞,"汗馬，使戰馬辛苦勞累而流汗。「汗馬功勞」指征戰的功勞，亦泛指一般的功勞。＃語本《韓非子．五蠹》。
△「豐功偉績」",指征戰的功勞，亦泛指一般的功勞。,指在打仗或重大事上付出很多努力，做出很大貢獻。
243,千載一時,千年才有一次的好時機，形容機會十分難得，稍縱即逝。＃語本《戰國策．楚策四》。 △「千載難逢」、「萬世一時」,形容機會十分難得，稍縱即逝。,這種好機會很少有，出現一次就要把握，錯過就沒有了。
244,光明磊落,"磊落，坦蕩。「光明磊落」形容心地無私，胸懷坦蕩。※語或出《朱子語類．卷七四．易．上繫上》。
△「光明正大」",形容心地無私，胸懷坦蕩。,心地不自私，做事公平，說話誠實不隱瞞，很坦率。
245,同病相憐,有同樣不幸遭遇的人互相同情。語出漢．趙曄《吳越春秋．闔閭內傳》。 △「同憂相救」、「物傷其類」,有同樣不幸遭遇的人互相同情。,遇到同樣的不順或難過時，會互相安慰和幫忙。
246,生龍活虎,"像有活力的龍虎一般，比喻活潑勇猛，生氣勃勃。※語或出《朱子語類．卷九五．程子之書》。
△「龍騰虎躍」",比喻活潑勇猛，生氣勃勃。,形容人精神很好、充滿活力，做事勇敢又有力量。
247,同床異夢,"睡在同一張床上但各做各的夢，比喻共同生活或一起做事的人意見不同，各有各的打算。＃語本宋．陳亮〈又乙巳春書之一〉。
△「分床同夢」、「同室異夢」、「異榻同夢」、「貌合神離」",比喻共同生活或一起做事的人意見不同，各有各的打算。,雖然住在一起，但每個人想法不同，各有自己的打算。
248,出其不意,"趁敵人沒有防備之時出兵。語出《孫子．計篇》。後用「出其不意」指趁人不備，出乎對方意料之外。
△「出人意表」、「攻其無備」",指趁人不備，出乎對方意料之外。,在別人沒注意或還沒準備好時，突然做事，讓對方來不及反應。
249,不知所云,"言語模糊或內容空洞，無法得知意旨為何。語出三國蜀．諸葛亮〈出師表〉。
△「語無倫次」",言語模糊或內容空洞，無法得知意旨為何。,說話不清楚或沒重點，讓人聽不懂對方在講什麼。
250,不言而喻,"事態明顯，不待說明即可曉悟。語出《孟子．盡心上》。
△「顯而易見」",事態明顯，不待說明即可曉悟。,情況很明顯，不用多說就能看得出來，大家一看就懂。
251,不苟言笑,"苟，隨便。「不苟言笑」指不隨便談笑，態度嚴肅。語本《禮記．曲禮上》。
△「一本正經」",不隨便談笑，態度嚴肅。,不隨便笑或開玩笑，說話很認真，態度很嚴肅。
252,大驚小怪,"形容為一些不足為奇的小事而過分聲張、驚怪。※語或出宋．朱熹〈答林擇之〉其一四。
△「少見多怪」",形容為一些不足為奇的小事而過分聲張、驚怪。,看到很普通、常發生的小事就過度驚訝和大聲嚷嚷。
253,手足無措,"「不知所措」之「措」，典源作「錯」。「錯」通「措」。「手足無措」指手腳無處安放。形容人惶恐不安，不知如何是好。＃語本《論語．子路》。
△「不知所措」、「六神無主」、「名正言順」",形容人惶恐不安，不知如何是好。,感到很慌張，不知道該怎麼做，手腳無處可放。
254,屈指可數,"彎曲手指可計數，形容數量很少。語本《三國志．卷一七．魏書．張樂于張徐傳．張郃》。
△「寥若晨星」、「寥寥無幾」",形容數量很少。,數量很少，少到用手指頭一一數得完，數起來很容易。
255,眉飛色舞,"形容非常喜悅得意的神情。※語或出清．梁章鉅《浪跡叢談．卷二．少穆尚書贈聯》。
△「眉開眼笑」",形容非常喜悅得意的神情。,一個人非常高興，臉上笑得很開心、很得意，眼神也閃亮。
256,洗心革面,「洗心」，洗滌心胸，摒除惡念或雜念。語出《易經．繫辭上》。「革面」，改變面目。語出《易經．革卦》。「洗心革面」指除去邪思雜念，改變舊日面目；比喻澈底悔悟，改過遷善。 △「脫胎換骨」,比喻澈底悔悟，改過遷善。,徹底改掉以前的壞習慣，不再做壞事，心態和行為都變好。
257,飛黃騰達,"比喻得意於仕途。語本唐．韓愈〈符讀書城南〉詩。
△「扶搖直上」、「青雲直上」",比喻仕途得意，很快到達高位。,人在工作或當官時，很快升到高職位，前途順利。
258,紙醉金迷,"絢麗燦爛的金飾紙光令人迷醉。形容絢爛奪目。語本宋．陶穀《清異錄．卷下．居室門．金迷紙醉》。後用「紙醉金迷」比喻奢侈浮華的享樂生活。
△「燈紅酒綠」",比喻奢侈浮華的享樂生活。,形容生活很豪華，只顧享受，有錢到亂花錢。
259,烏合之眾,"像烏鴉般聚在一起的一群人。比喻暫時湊合，無組織、無紀律的一群人。語出《管子》逸文。
△「一盤散沙」",比喻暫時湊合，無組織、無紀律的一群人。貶義。,一群人突然聚在一起沒組織也沒規矩，很容易變得很亂不可靠。
260,逆來順受,"以順從的態度接受惡劣環境或不合理的待遇。語本宋．陳錄《善誘文．對治十常》。
△「委曲求全」",以順從的態度接受惡劣環境或不合理的待遇。,遇到不好的或不公平對待，默默忍受、不反抗。
261,啞口無言,"遭人質問或駁斥時沉默不語或無言以對。※◎語或出《醒世恆言．卷八．喬太守亂點鴛鴦譜》。
△「張口結舌」、「緘舌閉口」",遭人質問或駁斥時沉默不語或無言以對。,被別人問倒或指出錯誤時，一時說不出話來，很尷尬。
262,等量齊觀,"不分輕重，一律同等看待。※＃語或出清．況周頤《蕙風詞話．卷三．劉仲尹參涪翁得法》。
△「相提並論」",不分輕重，一律同等看待。,把重要的和不重要的事都用一樣的標準看，不分輕重也不偏心。
263,荒謬絕倫,"形容荒唐、錯誤到了極點。※＃語或出《掃迷帚》第三回。
△「荒誕不經」",形容荒唐、錯誤到了極點。貶義。,非常荒唐、錯到極點，毫無道理，讓人完全無法接受。
264,深惡痛絕,"厭惡、痛恨到極點。※語或出宋．朱熹《四書章句集注．孟子集注．盡心下》。
△「深懲痛絕」、「痛心疾首」",厭惡、痛恨到極點。,對人或事情非常討厭、痛恨，完全不想靠近或忍受。
265,殊途同歸,"「殊途同歸」之「途」，典源作「塗」。「塗」通「途」。比喻採取的方法雖不同，所得的結果卻相同。語本《易經．繫辭下》。
△「異曲同工」",比喻採取的方法雖不同，所得的結果卻相同。,雖然每個人做事的方法不同，但最後的結果一樣。
266,千變萬化,"形容變化無窮。＃◎語出《列子．周穆王》。
△「瞬息萬變」",形容變化無窮。,東西變化很多，常常改來改去，很難預料下一步會怎樣。
267,得不償失,"表示所得不足以抵補所失。語本《後漢書．卷八七．西羌傳》。
△「貪小失大」",表示所得不足以抵補所失。,做一件事得到的好處，比起失去的損失還不夠
268,冥頑不靈,"愚昧頑固而不通靈性。語出唐．韓愈〈祭鱷魚文〉。
△「執迷不悟」",愚昧頑固而不通靈性。貶義。,很固執又不願改變，不聽別人說也學不會，不懂事情的對錯
269,望洋興嘆,"望洋，抬頭看的意思。形容因驚奇而仰視發出驚嘆。語本《莊子．秋水》。後用「望洋興嘆」比喻因能力不足而自嘆不如或感到無可奈何。
△「無可奈何」、「貽笑大方」",比喻因力量不夠而感到無可奈何。,遇到太難的事，自己做不到，只好無助地嘆氣。
270,嬌生慣養,"在備受寵愛縱容中成長。※語或出《醒世姻緣傳》第五七回。
△「養尊處優」",在備受寵愛縱容中成長。,從小被父母寵著，什麼都有人幫，自己不會做事。
271,養精蓄銳,"保養精神，積蓄力量。※語或本唐．符載〈上巳日陪劉尚書宴集北池序〉。
△「休養生息」、「養威蓄銳」",保養精神，積蓄力量。,好好休息、恢復精神和體力，儲備力量，等需要時再努力去做。
272,陽奉陰違,"陽，表面上；陰，暗地裡。「陽奉陰違」指表面上裝著遵守奉行，暗地裡卻違反不照辦。語出明．范景文〈革大戶行召募疏〉。
△「口是心非」",表面上裝著遵守奉行，暗地裡卻違反不照辦。貶義。,表面上答應照做，暗地裡卻不照辦，假裝服從。
273,懷才不遇,"懷有才能卻際遇不佳，不受重用。※語或出《喻世明言．卷五．窮馬周遭際賣䭔媼》。
△「英雄無用武之地」",懷有才能卻際遇不佳，不受重用。,有能力但遇不到好機會，沒人重視也得不到發揮。
274,連篇累牘,"牘，古代用以書寫文字的木片。「連篇累牘」指寫字用的竹簡、木片編串堆積在一起。形容文章篇幅冗長。＃語出《隋書．卷六六．李諤列傳》。
△「長篇大論」",形容文章篇幅冗長。,表示文章寫得又長又囉唆，內容很多重複，讀起來很累。
275,並駕齊驅,"多匹馬並排駕車，齊頭奔馳。語出南朝宋．劉勰《文心雕龍．附會》。後用「並駕齊驅」比喻彼此實力相當，不分軒輊。
△「不相上下」、「齊足並驅」",並排駕車，齊頭奔馳。＆比喻彼此實力相當，不分軒輊。,兩邊力量差不多，一起並肩前進，沒有明顯勝負。
276,起死回生,"使瀕死的人復生。語本《史記．卷一○五．扁鵲倉公列傳．扁鵲》。後用「起死回生」比喻毫無希望的情勢扭轉過來。
△「妙手回春」、「著手成春」",使瀕死的人復生。＆比喻毫無希望的情勢扭轉過來。,把快要死的人救活過來，也用來說把沒有希望的情況扭轉成好。
277,大名鼎鼎,"鼎鼎，盛大貌。「大名鼎鼎」形容人的名氣聲望很大。※語或出《官場現形記》第二四回。
△「赫赫有名」",形容人的名氣聲望很大。,他非常有名，很多人認識他，知道他的事和名聲。
278,大智若愚,"指具有極高智慧的人，往往表面上看起來似乎愚笨。語本宋．蘇軾〈賀歐陽少師致仕啟〉。
△「大巧若拙」、「大勇若怯」",表示具有極高智慧的人，往往表面上看起來似乎愚笨。,很聰明的人，表面看起來像笨人，但實際上很有智慧。
279,錦囊妙計,"封裝在錦囊裡的神妙計策。比喻預先規劃以應付意外、解決危急的有效方法。語本《三國演義》第五四回。
△「神機妙算」、「錦囊訣」",比喻預先規劃以應付意外、解決危急的有效方法。,事先想好的好辦法，遇到緊急或麻煩時拿出來用。
280,一目了然,"看一眼就完全清楚明白。語本《朱子語類．卷一三七．戰國漢唐諸子》。
△「一覽無遺」",看一眼就完全清楚明白。,看一眼就能完全看懂，馬上明白發生什麼事。
281,五光十色,"形容景色鮮麗複雜，光彩奪目。語本南朝梁．江淹〈麗色賦〉。後亦用「五光十色」比喻內容豐富，變化萬端。
△「五彩繽紛」",形容景色鮮麗複雜，光彩奪目。＆比喻內容豐富，變化萬端。,指東西顏色很多又很亮，看起來漂亮，變化很多。
282,年高德劭,"「年高德劭」之「劭」，典源作「邵」。「邵」通「劭」。「年高德劭」指年紀大而品德好。語本漢．揚雄《法言．孝至》。
△「德高望重」",指年紀大而品德好。褒義。,年紀很大，為人很好、品德好，大家都很尊敬他。
283,快馬加鞭,"對跑很快的馬，再加以鞭策，使牠跑得更快。形容快上加快。語本宋．王安石〈送純甫如江南〉詩。
△「馬不停蹄」",形容快上加快。,原本已經很快，還要再加快速度去做事情，更努力。
284,志同道合,"彼此的志趣和理想一致。＃語本漢．王充《論衡．逢遇》。
△「合志同方」、「情投意合」",彼此的志趣和理想一致。,兩個人有相同的興趣和目標，能一起做事、互相幫忙。
285,冷言冷語,"含有譏諷意味的冷冰冰的話。語出《虛堂和尚語錄．卷二．婺州雲黃山寶林禪寺語錄》。
△「冷嘲熱諷」",含有譏諷意味的冷冰冰的話。,用冷冰冰又帶刺的語氣說話，讓人覺得被嘲笑或受傷。
286,流言蜚語,"「流言」和「蜚語」義同，都是指沒有根據的話，用於毀謗他人。＃「流言」語出《書經．金縢》。「蜚語」語本《鶡冠子．武靈王》。「流言蜚語」本指製造不實的傳言，用來詆毀他人。後泛指謠言。「蜚」亦作「飛」。
△「風言風語」",泛指謠言。,沒有根據、在背後說別人壞話、會傷害人的謠言。
287,殺人越貨,"殺人搶劫。語本《書經．康誥》。
△「謀財害命」",殺人搶劫。,為了搶東西而殺人，拿走別人的錢和東西，行為很殘忍。
