idiom,original_definition
蕭規曹隨,"漢代曹參繼蕭何為相國，舉事皆無所變更。＃典出《史記．卷五四．曹相國世家》。後用「蕭規曹隨」比喻後人依循前人所訂的規章辦事。
△「率由舊章」"
庸人自擾,"庸碌的人無端自尋煩惱。語本《舊唐書．卷八八．陸元方列傳》。_x000D_
△「杞人憂天」。"
緣木求魚,爬到樹上去抓魚。比喻用錯方法，徒勞無功。語出《孟子．梁惠王上》。
雙管齊下,手握雙管同時作畫。＃語本唐．朱景玄《唐朝名畫錄．神品下．張藻》。後用「雙管齊下」比喻同時採用兩種辦法來做事。
一言九鼎,"九鼎，傳說中夏禹的傳國寶器。「一言九鼎」形容說話很有分量。語本《史記．卷七六．平原君虞卿列傳．平原君》。後亦用「一言九鼎」形容說話很有信用。
△「三寸不爛之舌」"
自相矛盾,比喻言語或行事前後無法呼應，互相牴觸。◎典出《韓非子．難一》。
舉案齊眉,將放置飯菜的木盤高舉，與眉平齊，為東漢孟光對其夫梁鴻敬愛的表示。＃典出《東觀漢記．卷一八．梁鴻列傳》。後用「舉案齊眉」比喻夫妻相敬如賓。
閉門造車,"關起門來，按照一定的規格在家裡造車。比喻依循著一定的原則行事。＃語出《祖堂集．卷二○．五冠山瑞雲寺和尚》。後用「閉門造車」比喻凡事只憑主觀辦事，不問是否切合實際。
△「閉門造車，出門合轍」"
歧路亡羊,岔路很多，因此而走失了一隻羊。比喻事理繁雜多變，求道者誤入迷途，而終無所成。典出《列子．說符》。
車水馬龍,門前車馬往來不絕。＃語本《東觀漢記．卷六．外戚列傳．明德馬皇后》。後用「車水馬龍」形容繁華熱鬧的景象。
先發制人,凡事先下手取得先機，才能制伏對方。＃語本《史記．卷七．項羽本紀》。
洛陽紙貴,"由於左思的〈三都賦〉，時人競相傳寫，因而洛陽為之紙貴。典出《晉書．卷九二．文苑列傳．左思》。後用「洛陽紙貴」形容著作風行一時，流傳甚廣。
△「都城紙貴」"
孤陋寡聞,寡，少。形容學識淺薄，見聞不廣。語出《禮記．學記》。
滿腹經綸,"經綸，整理絲線，引申為規劃、治理。「滿腹經綸」形容才識豐富，具有處理大事的才能。※語或本《易經．屯卦．象》。
△「滿腹經籍」"
飲鴆止渴,「飲鴆止渴」之「鴆」，典源作「酖」。「酖」通「鴆」。鴆，以鴆鳥羽毛浸製而成的毒酒。「飲鴆止渴」指飲毒酒以解渴。比喻只求解決眼前困難，而不顧將來更大的禍患。語本《後漢書．卷四八．楊李翟應霍爰徐列傳．霍諝》。
退避三舍,舍，古人以三十里為一舍。「退避三舍」指作戰時，將部隊往後撤退九十里。◎語本《左傳．僖公二十三年》。後用「退避三舍」比喻主動退讓，不與人相爭。
世外桃源,"與世隔絕，開滿桃花的安樂土。典出晉．陶潛〈桃花源記〉。後用「世外桃源」比喻風景優美而人跡罕至的地方。亦用於比喻心目中理想的世界。
△「豁然開朗」"
水深火熱,"處在深水熱火中。比喻處境非常艱困、痛苦。語本《孟子．梁惠王下》。
△「火熱湯沸」、「簞食壺漿」"
假公濟私,假借公家的名義以謀取個人的私利。＃語本《漢書．卷六○．杜周傳》。
孤掌難鳴,一個巴掌難以拍出聲響。比喻人孤立無助，不能成事。語本《韓非子．功名》。
偃旗息鼓,"軍隊放倒旌旗，停止戰鼓。形容不露行蹤。語出《雲別傳》。後亦用「偃旗息鼓」比喻事情中斷或聲勢減弱。_x000D_
△「偃兵息甲」、「鳴金收兵」"
妄自尊大,"狂妄地自尊自大。語出《後漢書．卷二四．馬援列傳》。
△「不修邊幅」、「夜郎自大」"
得心應手,心裡怎麼想，手便能怎麼做。比喻技藝熟練，運用自如。＃語本《莊子．天道》。  後亦用「得心應手」比喻做事順利。
乘風破浪,"順著風，破浪前進。＃語本《宋書．卷七六．列傳．宗慤》。後亦用「乘風破浪」比喻人志向遠大，不畏艱難，奮勇前進。_x000D_
△「披荊斬棘」"
滿城風雨,滿城，到處都颳風下雨的景象。本指自然現象，這種現象多出現在重陽或晚春時節。※語或出宋．釋惠洪《冷齋夜話．卷四．滿城風雨近重陽》。後「滿城風雨」語義一轉，也用來指事情一經傳出，便流言四起，到處議論紛紛。
敝帚自珍,自家的破舊掃把，卻珍愛如寶。比喻東西雖不好，卻因為是自己所擁有，故非常珍視。語本《東觀漢記．卷一．光武帝紀》。
兔死狗烹,"兔子死盡了，用來捕兔的獵狗因為失去了作用而被烹食。比喻事成之後，有功之人即遭到殺戮或見棄的命運。＃語本《淮南子．說林》。
△「鳥盡弓藏」、「鳥盡弓藏，兔死狗烹」"
拋磚引玉,將磚拋出，引回玉來。※＃語或出《景德傳燈錄．卷一○．趙州觀音院從諗禪師》。後用「拋磚引玉」比喻自己先發表粗陋的詩文或不成熟的意見，以引出別人的佳作或高論，多用作自謙之詞。亦用於比喻以身作則，引發眾人響應。
門庭若市,門庭間來往的人很多，像市集一般熱鬧。比喻上門來的人很多。語出《戰國策．齊策一》。
殺身成仁,"為了成全仁德而犧牲生命。語出《論語．衛靈公》。後用「殺身成仁」指為正義或崇高的理想而犧牲生命。
△「捨生取義」"
一視同仁,同樣以博愛的仁心，對待所有的人及禽獸。語出唐．韓愈〈原人〉。後用「一視同仁」指平等待人，不分親疏厚薄。
雪中送炭,在下雪天送炭給人取暖。比喻在人艱困危急之時，給予適時的援助。※語或本唐．釋德行《四字經．甲乙》。
甘拜下風,下風，風所吹向的那方。「甘拜下風」指待在下邊，聽候吩咐。＃語本《左傳．僖公十五年》。後用「甘拜下風」表示自認不如，由衷佩服。
無地自容,"沒地方可以藏身。形容羞愧至極。語本《史記．卷七七．魏公子列傳》。
△「容身無地」"
過河拆橋,渡過了河就把橋拆掉。比喻不念舊情，忘恩負義。語出《元史．卷一四二．徹里帖木兒列傳》。
前倨後恭,"先前傲慢無禮，後又謙卑恭敬。比喻待人勢利，態度轉變迅速。＃語出《戰國策．秦策一》。
△「引錐刺股」、「今恭昔慢」"
弄巧成拙,本想賣弄才能、聰明，卻反而做了蠢事。比喻枉費心機。※語或出《五燈會元．卷三．江西馬祖道一禪師》。
噤若寒蟬,噤，閉口不作聲。「噤若寒蟬」指像寒冷季節時的蟬，一聲不響。比喻不敢說話。語本《後漢書．卷六七．黨錮列傳．杜密》。
瓜田李下,在瓜田裡不彎身穿鞋，在李樹下不舉手整理帽子。語本無名氏〈君子行〉。後用「瓜田李下」比喻容易引起懷疑的場合。
望塵莫及,"只能遠望前面車馬揚起的塵土，而無法趕得上。比喻遠遠落在他人之後。＃語本《莊子．田子方》。
△「失之交臂」、「亦步亦趨」、「奔逸絕塵」、「瞠乎其後」"
半途而廢,"「半途而廢」之「途」，典源作「塗」。事情沒做成功就停止。比喻做事情有始無終。語本《禮記．中庸》。
△「中道而廢」"
一籌莫展,籌，計策、計謀。「一籌莫展」指一點計策也施展不出來。比喻毫無辦法。語本《宋史．卷四三四．儒林列傳．蔡幼學》。
抱薪救火,"抱著木柴去救火，比喻處理事情的方法錯誤，既無法達成目的，反而情勢更為惡劣。比喻用錯方法，而致禍害加深。＃語出《戰國策．魏策三》。_x000D_
△「潑油救火」"
大器晚成,貴重的器物需要長時間才能完成。＃語出《老子》第四一章。後用「大器晚成」比喻卓越的人才往往成就較晚。
莫逆之交,莫逆，相契而無所違逆。「莫逆之友」指心意相投的朋友。語本《莊子．大宗師》。
按圖索驥,按照前人所畫的圖象，去尋求當代的良馬。比喻做事拘泥成規，呆板不知變通。語本《漢書．卷六七．楊胡米梅云傳．梅福》。後亦用「按圖索驥」比喻按照所掌握的線索辦事。
強弩之末,「強弩之末」之「強」，典源作「彊」。「彊」同「強」。強勁弓弩所射出的箭，到射程盡頭，已經沒有力道。比喻原本強大的力量已經衰竭，不能再發揮效用。＃語本《史記．卷一○八．韓長孺列傳》。
一網打盡,"用網子全部抓住。典出《呂氏春秋．孟冬紀．異用》。後用「一網打盡」比喻排斥異己，不留孑遺。
△「網開一面」"
蜀犬吠日,"蜀地的狗看見了日出，便對著太陽狂叫。＃語本唐．岑參〈招北客文〉。後用「蜀犬吠日」形容人少見多怪。
△「蜀日越雪」、「粵犬吠雪」"
曲突徙薪,"將煙囪改彎，把柴薪移走。＃典出漢．劉向《說苑．卷一三．權謀》。後用「曲突徙薪」比喻事先採取措施，以防止危險發生。_x000D_
△「有備無患」"
矯枉過正,糾正偏差超過適切程度，反而不符合中庸之道。＃語本《越絕書．卷一五．越絕篇敘外傳記十九》。
吳牛喘月,吳地的水牛見到月亮以為是太陽，因此便自以為熱，氣喘不已。＃語本漢．應劭《風俗通義．佚文》。後來也用「吳牛喘月」轉而比喻人見到曾受其害的類似事物，而過分驚懼害怕。也用來形容天氣酷熱。
居安思危,處於安樂的時候，要想到危險可能會隨時出現。語出《左傳．襄公十一年》所引之《書》。
賓至如歸,客人來到這裡就好像回到自己的家裡。語出《左傳．襄公三十一年》。後用「賓至如歸」形容主人招待周到親切，使客人感到滿意。
不恥下問,"不以向身分較低微或是學問較自己淺陋的人求教為羞恥。語出《論語．公冶長》。
△「不媿下學」、「無惡下問」"
不可救藥,病重無藥可醫治。比喻到了無法挽救的地步。語出《詩經．大雅．板》。
河東獅吼,"比喻妻子凶悍發威。＃語出宋．蘇軾〈寄吳德仁兼簡陳季常〉詩。_x000D_
△「季常之癖」"
手舞足蹈,揮手舉足，舞動跳躍。＃語本《詩經．大序》。後亦用「手舞足蹈」形容高興到了極點。
愛屋及烏,因愛一個人，連帶地也愛護停留在他屋上的烏鴉。比喻愛一個人也連帶地關愛與他有關的一切。＃語本《尚書大傳．卷三．大戰篇》。
不脛而走,"「不脛而走」之「脛」，典源作「足」。脛，小腿。「不脛而走」指沒有腿也能去。＃語本《韓詩外傳》卷六。後用「不脛而走」比喻事物不用推廣，也能迅速傳播。
△「不翼而飛」"
大義滅親,指為了維護公理正義，不徇私情，滅了犯罪的親人，或讓他們接受法律制裁。語出《左傳．隱公四年》
越俎代庖,俎，禮器。「越俎代庖」本指擔任主祭的人，超越職責，代替廚師下廚。用來比喻踰越職分代人辦事。語本《莊子．逍遙遊》。
水滴石穿,"滴水久了可使石穿。比喻持之以恆，事必有成。語本《尸子》。後亦用「水滴石穿」比喻小問題日積月累也會成為大問題。
△「繩鋸木斷」"
炙手可熱,手一靠近就覺得很熱。比喻地位尊貴，勢燄熾盛。＃語出唐．裴庭裕《東觀奏記》卷中。後亦用「炙手可熱」比喻廣受歡迎，名聲極盛。
因噎廢食,「因噎廢食」之「噎」，典源作「饐」。「饐」同「噎」。因為怕噎死，而不再吃東西。比喻曾經出過差錯，唯恐再錯而不去做該做的事。語本《呂氏春秋．孟秋紀．蕩兵》。
草菅人命,菅，一種多年生的野草。「草菅人命」比喻輕視人命，任意加以殘害。＃語本《大戴禮記．保傅》。
排難解紛,排除危難，解決紛爭。語本《戰國策．趙策三》。
如魚得水,"(一)像魚得游於水。如魚游水之姿，比喻筆法的靈活。語本秦．李斯〈用筆法〉。
(二)像魚得游於水。如魚得水之樂，比喻得到志同道合的人或適合於自己發展的環境。語本《三國志．卷三五．蜀書．諸葛亮傳》。
(三)像魚得游於水。如魚和水之親密，比喻兩人間情愛親密。※語或出《喻世明言．卷三．新橋市韓五賣春情》。"
流芳百世,"美名流傳後世、為人所稱頌。※＃語或本《三國志．卷五．魏書．后妃傳．文德郭皇后傳》。
△「千載流芳」、「垂芳千載」、「萬古流芳」"
眾志成城,"眾人同心，力量堅固如城。比喻團結一致，同心協力。語本《國語．周語下》。
△「眾口鑠金」"
管中窺豹,"從管中只看見豹的一小部分。比喻所見甚小，未得全貌。※＃語或本南朝宋．劉義慶《世說新語．方正》。
△「以管窺天」、「管窺蠡測」"
南柯一夢,淳于棼夢中出任南柯太守，歷盡人生窮通榮辱，醒來才知道是一場夢。典出唐．李公佐《南柯太守傳》。後用「南柯一夢」比喻人生如夢，富貴得失無常。
束之高閣,把東西捆起來，放置於閣樓上。比喻棄置不用。＃語出晉．習鑿齒《漢晉春秋》。
忍辱負重,忍受屈辱怨謗而承擔重任。語出《三國志．卷五八．吳書．陸遜傳》。
臥薪嘗膽,越王句踐躺臥在柴薪上，不時舔嘗苦膽，以警惕自己不忘所受的屈辱。比喻刻苦自勵，發奮圖強。典出《史記．卷四一．越王句踐世家》。
買櫝還珠,買了裝珍珠的盒子，而把珍珠退還。典出《韓非子．外儲說左上》。後用「買櫝還珠」比喻捨本逐末，取捨失當。
不求甚解,讀書著重理解義理，而不過度鑽研字句上的解釋。＃語出晉．陶潛〈五柳先生傳〉。後亦用「不求甚解」形容學習或工作的態度不認真，只求略懂皮毛而不深入理解。
青黃不接,青，指還沒成熟的綠色禾苗；黃，指舊有的黃熟穀物。「青黃不接」指新穀還沒成熟，存糧又已吃完。※語或本宋．歐陽修〈言青苗錢第二劄子〉。後用「青黃不接」比喻有所匱乏，一時難以為繼。
自慚形穢,因容貌儀態不如別人而感覺羞愧。語本南朝宋．劉義慶《世說新語．容止》。後用「自慚形穢」泛指與人相比自愧不如。
急如星火,如流星的光那樣急速，形容情勢急迫。＃語本晉．李密〈陳情表〉。
背道而馳,"行為不合情理，做事違反正道。※＃語或本唐．白居易〈為人上宰相書〉。後用「背道而馳」比喻彼此的目標或理想完全相反。
△「南轅北轍」"
同舟共濟,"同乘一條船渡河，比喻同心協力，戰勝困難。語本《孫子．九地》。
△「風雨同舟」"
披星戴月,「披星戴月」之「戴」，典源作「帶」。頂著星月而走，形容早出晚歸、連夜趕路或工作備極勞累。語本唐．呂巖〈七言〉詩其四四。
相敬如賓,形容夫妻間相處融洽，互相敬愛。＃語本《左傳．僖公三十三年》。
鶴立雞群,鶴站在雞群之中，非常突出。比喻人的儀表才能超群脫凡。＃語本晉．戴逵〈竹林七賢論〉。後亦用「鶴立雞群」比喻事物的不平凡。
格格不入,"格格，阻礙，隔閡。比喻抵觸阻隔而不相合。語本宋．陸九淵〈與徐子宜書〉其二。
△「方枘圓鑿」"
山窮水盡,指水陸交通阻斷，無法通行。※語或本北周．庾信〈周兗州刺史廣饒公宇文公神道碑〉。後用「山窮水盡」比喻走投無路，陷入絕境。
功敗垂成,指事情在即將成功時卻失敗了。原語如加「於」和「之時」三字，成為「功敗（於）垂成（之時）」，意義就很容易理解。垂，「將近」之意。語出《晉書．卷七九．謝安列傳》。
旁若無人,"對身旁的人視若無睹，形容說話舉動毫無顧忌。語出《史記．卷八六．刺客列傳．荊軻》。後亦用「旁若無人」形容態度高傲。
△「目中無人」、「目空一切」"
青梅竹馬,"竹馬，小孩夾在胯下當成馬騎的竹竿，有時會加上一個馬頭模型。「青梅竹馬」形容小兒女天真無邪的結伴嬉戲。語本唐．李白〈長干行〉二首之一。後用「青梅竹馬」比喻從小就相識的同伴。
△「兩小無猜」"
五體投地,本為古印度最恭敬的致敬儀式，指雙膝雙肘及頭五處著地，佛教徒沿用以禮敬三寶（佛、法、僧）。※語出《大佛頂首楞嚴經》卷一。後用「五體投地」比喻非常欽佩對方。
強詞奪理,「強詞奪理」之「奪」，典源作「昧」。形容沒有道理卻強為狡辯，硬說成有理。語本唐．神清《北山錄．卷三．合霸王》。
投鞭斷流,把兵士的馬鞭都投到江裡，就能截斷水流。比喻軍旅眾多，兵力強大。＃語本北魏．崔鴻《前秦錄》。
天花亂墜,「天花亂墜」之「花」，典源作「華」。「華」同「花」。傳說佛祖講經說法，感動了天神，把各色香花從空中紛紛撒下。＃典出《心地觀經．卷一．序品偈》。後亦用「天花亂墜」形容說話動聽，但多浮誇不切實際。
不速之客,速，邀請。「不速之客」指沒有邀請就自己來的客人。語出《易經．需卦》
勢不兩立,"依形勢是不能並存的。比喻敵對的雙方不能同時並存。＃◎語出《戰國策．楚策一》。_x000D_
△「不共戴天」"
開誠布公,"敞開胸懷，提出公正客觀的見解。比喻誠意待人，坦白無私。語本《三國志．卷三五．蜀書．諸葛亮傳》。
△「開心見誠」"
一絲不苟,一絲，一點點。苟，隨便、草率。「一絲不苟」形容做事認真，一點也不馬虎。※語或本《周禮．地官．大司徒》。
力不從心,心裡想做某事，力量卻無法達到。※◎語或本漢．班昭〈為兄超求代疏〉。
撲朔迷離,指兔子雌雄的特性。語本古辭〈木蘭詩〉二首之一。但因雌雄兩兔在一起奔跑時，難以分辨，因此後用「撲朔迷離」形容事物錯綜複雜，難以驟然明瞭真相。亦用於形容景色迷濛。
舉足輕重,一舉腳就會影響兩邊的輕重。形容所居地位極為重要，一舉一動皆足以影響全局。語本《後漢書．卷二三．竇融列傳》。
再接再厲,"「再接再厲」之「厲」，典源作「礪」，音義同。本謂公雞相鬥，再次交戰前都要先把嘴磨利。比喻勇往直前，不因挫折而懈怠。語本唐．韓愈等〈鬥雞聯句〉。_x000D_
△「再接再捷」"
姍姍來遲,形容女子遲步緩來的樣子。語本《漢書．卷九七．外戚傳上．孝武李夫人》。後亦用「姍姍來遲」形容人或事物不依時出現，害人苦等。
明日黃花,「明日黃花」的「明日」，泛指九月九日重陽節過後；「黃花」，即菊花。「明日黃花」指錯過重陽節時令賞菊就將毫無興味。◎語出宋．蘇軾〈九日次韻王鞏〉詩。後用「明日黃花」比喻過時的事物。
迎刃而解,"迎著刀刃的竹子，會順著刀勢裂開。比喻戰事進展順利。語出《晉書．卷三四．杜預列傳》。後用「迎刃而解」形容相連的事物很容易分解，亦用來比喻事情很容易處理。
△「勢如破竹」"
非驢非馬,既不像驢，也不像馬。比喻事物不倫不類。語本《漢書．卷九六．西域傳下》。
百發百中,"每發一箭，都能射中。形容射擊技術高超，絕無虛發。＃語出《戰國策．西周策》。後亦用「百發百中」形容技術高妙，能命中目標。或形容料事、用計、施藥等相當準確。
△「百步穿楊」、「前功盡棄」"
罄竹難書,罄，音ㄑㄧㄥˋ，用盡。「罄竹難書」指即使把所有竹子做成竹簡拿來書寫，也難以寫盡。形容災亂異象極多，無法一一記載。＃語本《呂氏春秋．季夏紀．明理》。後用「罄竹難書」形容罪狀極多。
自作自受,"自己做錯事，由自己承擔不良後果。※＃語或出敦煌變文《目連緣起》。_x000D_
△「自作自當」"
自暴自棄,"自我蹧蹋和自我放棄，本指言行違背仁義。語本《孟子．離婁上》。後用「自暴自棄」指自甘墮落，不求上進。
△「妄自菲薄」"
高枕無憂,"墊高枕頭，無憂無慮地睡覺。形容身心安適，無憂無慮。◎語本《戰國策．齊策四》。
△「四分五裂」、「狡兔三窟」"
家喻戶曉,「家喻戶曉」典源作「戶告人曉」，意為告訴家家戶戶知曉。＃語本漢．劉向《列女傳．卷五．梁節姑姊》。後來引申為家家戶戶都知曉，形容事情、名聲傳播極廣。
安步當車,悠閒安穩地走路，當作是乘車。比喻安貧樂賤。語出《戰國策．齊策四》。後用「安步當車」形容態度悠閒從容。
一見如故,初次見面就相處融洽，如同老朋友一般。※＃語或本《左傳．襄公二十九年》。
小巫見大巫,小巫師見到大巫師，相形見絀，法術無法施展。＃語出《莊子》逸文。後用「小巫見大巫」比喻能力相差甚遠，無法相提並論。
怒髮衝冠,"憤怒得頭髮直豎頂起帽子。形容盛怒的樣子。◎＃語本《史記．卷八一．廉頗藺相如列傳》。
△「完璧歸趙」"
一塵不染,本指佛家修道的人，不被六塵（色、聲、香、味、觸、法）所玷汙。語出《景德傳燈錄．卷三．弘忍大師》。後用「一塵不染」泛指人品純潔，絲毫不沾染壞習氣。也用於形容非常乾淨，一點灰塵都沒有。
愚公移山,傳說北山愚公苦於家門前有太形、王屋二山阻攔出路，因而率領子孫挖掘土石，決心鏟平二山。典出《列子．湯問》。後用「愚公移山」比喻努力不懈，終能達成目標。或比喻效率不佳。
口蜜腹劍,"口中有蜜，肚子裡卻藏著劍。比喻一個人嘴上說得好聽，事實上卻內心險惡，處處想陷害別人。語本五代周．王仁裕《開元天寶遺事．肉腰刀》。_x000D_
△「笑裡藏刀」"
不寒而慄,「不寒而慄」之「慄」，典源作「栗」。「栗」通「慄」。雖不寒冷仍發抖。形容內心恐懼極至。語本《史記．卷一二二．酷吏列傳．義縱》。
別開生面,原指重新描繪舊畫像，而使原已褪色的面貌變得鮮明、生動。語本唐．杜甫〈丹青引贈曹將軍霸〉詩。後用「別開生面」比喻另外開創新的局面、風格、形式。
枕戈待旦,枕著武器等待天明。形容殺敵報國之心急切，隨時準備作戰。＃語出晉．孫盛《晉陽秋》。後用「枕戈待旦」形容人全神戒備，絲毫不敢鬆懈。
事半功倍,"事情只用古人一半的心力，而功效加倍。形容費力少而收效大。語本《孟子．公孫丑上》。後用「事半功倍」比喻工作效率高。
△「以解倒懸」、「事倍功半」、「飢不擇食」、「渴不擇飲」"
數典忘祖,典，典故。「數典忘祖」指列舉典故來論說事情，卻反而將自己祖先掌管典籍這件事給忘了。語出《左傳．昭公十五年》。後用「數典忘祖」比喻人忘本。
中流砥柱,"如砥柱般屹立在湍急的水流中。＃語本《晏子春秋．內篇．諫下》。比喻獨立不撓、能擔當重任支撐大局的人。
△「二桃殺三士」"
欲蓋彌彰,形容想要掩飾過失，反而使過失更加明顯。語本《左傳．昭公三十一年》。
對症下藥,指針對病症開方用藥。比喻針對癥結所在，做有效的處理。※語或本《朱子語類．卷四一．論語．顏淵篇上》。
尾大不掉,掉，轉動。「尾大不掉」指尾巴過大就不易擺動。比喻下屬的勢力強大，在上者難以駕馭。語出《左傳．昭公十一年》。後亦用「尾大不掉」比喻事物因輕重關係倒置，形成難以控制的局面。
抱殘守缺,固守舊有殘缺的經文不放。語本漢．劉歆〈移書讓太常博士〉。後用「抱殘守缺」比喻固守舊有事物或思想，而不知改進變通。
熟能生巧,做事熟練了自然能領悟出其中巧妙旳竅門。※＃典或出宋．歐陽修《歸田錄》卷一。
鞭長莫及,馬鞭雖長，但距離太遠，打不到馬腹。比喻力量有所不及。語本《左傳．宣公十五年》。
開卷有益,「開卷有益」之「益」，典源作「得」。打開書冊閱讀，必有所領悟獲得。＃語本《宋書．卷九三．隱逸列傳．陶潛》。後用「開卷有益」指打開書本閱讀，即能得到好處。
虎口餘生,"僥倖的從老虎口中逃出來，保全了性命。比喻冒大險而不死。語本《莊子．盜跖》。
△「九死一生」、「劫後餘生」"
風馬牛不相及,"比喻事物之間彼此毫不相干。語出《左傳．僖公四年》。_x000D_
△「馬牛其風」"
海市蜃樓,"蜃，大蛤蜊。傳說蜃能吐氣而形成樓臺城市等景觀，其實這是由於光線折射造成的自然現象。語本《史記．卷二七．天官書》。後用「海市蜃樓」比喻虛幻的事物。
△「空中樓閣」"
口是心非,"口中如此說，心中不作如此想。指心裡想的和嘴上說的不一致。◎語出《抱朴子．內篇．黃白》。_x000D_
△「言不由衷」、「陽奉陰違」"
不毛之地,"毛，種植五穀。「不毛之地」指堅硬瘠薄、不適種植五穀的土地。語出《公羊傳．宣公十二年》。後用「不毛之地」形容荒涼貧瘠的土地。
△「不食之地」"
大發雷霆,"盛怒時大聲斥責，聲如雷霆，令人驚恐。形容大發脾氣，大聲責罵。語本《三國志．卷五八．吳書．陸遜傳》。_x000D_
△「暴跳如雷」"
聲東擊西,表面做出要攻打東邊的聲勢，實際上卻集中主力攻擊對方不備的西邊的戰略。＃語本《淮南子．兵略》。後亦用「聲東擊西」比喻以虛張聲勢，來轉移對方的注意力。
平步青雲,「平步」，像平常一樣地舉步，比喻平坦順利。語出唐．白居易〈潯陽歲晚寄元八郎中庾三十二員外〉詩。「青雲」，天上的雲，比喻很高的地位。語出《史記．卷七九．范雎蔡澤列傳．范雎》。「平步青雲」言像平常一樣地舉步，就可以輕易走上青雲，比喻順利晉升到顯要的地位。
一知半解,形容一個人所知不全，了解不深。※＃語或出宋．張栻〈寄周子充尚書〉。
自怨自艾,悔恨自己犯下的錯誤而加以改正。語出《孟子．萬章上》。後用「自怨自艾」形容消極地埋怨自責。
曲高和寡,"曲調愈高雅，跟著唱和的人就愈少。比喻無法引起大眾的共鳴。語本戰國楚．宋玉〈對楚王問〉。_x000D_
△「下里巴人」、「陽春白雪」"
怨聲載道,道路上到處充滿了埋怨的聲音。形容群眾普遍的怨恨和不滿。語本《後漢書．卷六三．李杜列傳．李固》。
指桑罵槐,指著桑樹罵槐樹，比喻拐彎抹角地罵人。※語或本《金瓶梅詞話》第六二回。
忍氣吞聲,"忍住氣，不敢出聲。「忍氣吞聲」形容受了氣也強自忍耐，不敢作聲抗爭。語本南朝梁．任孝恭〈為汝南王檄魏〉。
△「飲恨吞聲」"
投桃報李,"你送給我桃子，我回贈李子。語本《詩經．大雅．抑》。後用「投桃報李」比喻朋友間友好往來或相互贈答。
△「禮尚往來」"
空前絕後,比喻超越古今，無與倫比。語本《晉起居注》。
否極泰來,情況由壞逐漸好轉。語本漢．趙曄《吳越春秋．句踐入臣外傳》。
飲水思源,喝水時就想起水的源頭。比喻人不忘本。語本北周．庾信〈徵調曲〉。
克紹箕裘,"紹，繼承。「克紹箕裘」比喻能繼承父業。語本《禮記．學記》。後亦用「克紹箕裘」比喻能繼承師業。
△「箕裘廢墜」"
兩敗俱傷,兩者相爭，俱受損傷。語本《新五代史．卷三八．宦者傳．論》。
兩全其美,"做事顧全雙方，使兩方面都獲益。※＃語或出元．陳天祥〈論盧世榮姦邪狀〉。
△「兩全之美」、「兩全其適」"
才高八斗,比喻才學極高。語本宋．無名氏《釋常談．卷中．八斗之才》
盲人摸象,"佛經故事中，以盲者各自所摸大象身體的不同部位來形容象，比喻以偏概全，未能洞明真相。典出《大般涅槃經》卷三○。_x000D_
△「眾盲模象」"
因陋就簡,比喻做事馬虎，不力求完善美備。語本漢．劉歆〈移書讓太常博士〉。後亦用「因陋就簡」比喻因循或遷就簡陋的現實環境去做事。
見獵心喜,看到有人打獵，激起舊日的愛好而心喜。＃語本宋．周敦頤〈周子遺事〉。後用「見獵心喜」比喻舊習難忘，看見有人在做自己所愛好的事情，便心情愉悅而躍躍欲試。也單指見到喜愛事物而心中欣喜。
信口開河,"「信口開河」之「河」，典源作「合」。任由嘴巴隨意開合，指不加思索地隨口說出。※＃語或本元．關漢卿《魯齋郎》第四折。後用「信口開河」比喻隨口亂說。
△「信口雌黃」"
欣欣向榮,草木生長繁盛的樣子。語出晉．陶潛〈歸去來兮辭〉。後用「欣欣向榮」比喻事物蓬勃發展、繁榮興盛。
巧取豪奪,用巧詐的手段騙取，或倚仗權勢強行奪取。※語或本宋．蘇軾〈次韻米黻二王書跋尾〉詩二首之一。後用「巧取豪奪」形容不擇手段地取得權利、財物。
虎視眈眈,如老虎般威嚴地注視著。語出《易經．頤卦》。後多用「虎視眈眈」比喻心懷不軌，如老虎般貪狠地注視著，伺機掠奪。
怨天尤人,抱怨上天，責怪他人。比喻面對不如意時，一味地歸咎客觀環境，而不能自我檢討。語本《論語．憲問》。
水泄不通,一點水也無法泄漏，形容包圍得極為嚴密。※語或本《敦煌變文集新書．卷五．伍子胥變文》。後亦用「水泄不通」形容擁擠不堪。
一氣呵成,"一口氣完成。比喻文章的氣勢流暢，首尾貫通。語出明．胡應麟《詩藪．內編．近體中．七言》。後亦用「一氣呵成」比喻事情進行得順暢緊湊而不間斷。_x000D_
△「一揮而就」、「下筆成章」、「援筆立成」"
觸類旁通,「觸類」，謂接觸與已知事物相類似的事物。語出《易經．繫辭上》。「旁通」，向旁伸展而通達。語出《易經．乾卦》。後用「觸類旁通」謂據對已知事物的認識與理解，進而通達對其他類似事物的認知。
殺雞取卵,"把雞殺了，取出腹中的蛋。比喻為貪圖眼前的好處而斷絕了長遠的利益。典出《伊索寓言．生金蛋的雞》。_x000D_
△「竭澤而漁」"
面面相覷,你看我，我看你，相視無言。※語或出《續傳燈錄．卷六．懷安軍雲頂海鵬禪師》。後用「面面相覷」形容驚懼、詫異而不知所措的樣子。
老生常談,"「老生常談」之「談」，典源作「譚」。
「譚」同「談」。老書生的尋常言論。比喻時常聽到，了無新意的老話。語本《三國志．卷二九．魏書．方技傳．管輅》。"
