編號,成語,釋義,用法說明-語義說明,三歲版解釋
390,出奇制勝,發奇兵或用奇計制敵而獲勝。語本《孫子．勢篇》。後用「出奇制勝」比喻用奇特、創新的方法取得好效果。,發奇兵或用奇計制敵而獲勝。褒義。＆比喻用奇特、創新的方法取得好效果。褒義。,用別人沒想到的方法或新點子，讓對方慌亂而贏
391,食古不化,「食古不化」之「古」，原或作「生」。學了古代知識而不能充分理解、應用，如同吃了東西不能消化一樣。比喻一味守舊而不知變通。※語或本清．閻爾梅〈破山和尚語錄序〉。,比喻一味守舊而不知變通。貶義。,只會照老方法做，不懂學到的東西怎麼用，也不想改變。
392,一日千里,一日能行千里之遠。形容良馬跑得很快。＃語本《莊子．秋水》。後亦用「一日千里」形容速度極快。亦用於比喻進步極快或進展迅速。或比喻人才出眾。,形容速度很快。＆比喻進步極快或進展迅速。褒義。,常用來說跑得很快，也指學習或進步速度很快。
393,一諾千金,一句諾言值千斤黃金。語本《史記．卷一○○．季布欒布列傳．季布》。後用「一諾千金」形容信守承諾，說話算數。,形容信守承諾，說話算數。褒義。,一旦答應別人，會認真做到，讓人放心相信他。
394,騎虎難下,騎著老虎，害怕被咬而不敢下來。比喻事情迫於情勢，無法中止，只好繼續做下去。＃語本南朝宋．何法盛〈晉中興書〉。,比喻事情迫於情勢，無法中止，只好繼續做下去。,做了很危險或難處理的事，因為怕後果更糟，只能繼續做下去。
395,投鼠忌器,想投擊老鼠，卻怕擊中老鼠身旁的器物而不敢下手。比喻想要除害，但因有所顧忌而不敢下手。語出《漢書．卷四八．賈誼傳》。,比喻想要除害，但因有所顧忌而不敢下手。,想解決問題或對付壞人，卻怕一起傷到別人或東西，不敢動手。
396,坐井觀天,坐在井底仰望天空。比喻人眼界狹小，見識不廣。語出唐．韓愈〈原道〉。,比喻人眼界狹小，見識不廣。,坐在井底只看到一小塊天，知道的事很少，不知道外面有多大。
397,門可羅雀,門前冷清，空曠得可張網捕雀。形容做官的人失勢後賓客稀少的景況。語本《史記．卷一二○．汲鄭列傳》。後亦用「門可羅雀」泛指一般來客稀少、門庭冷清的景況。,形容做官的人失勢後賓客稀少的景況。＆泛指一般來客稀少、門庭冷清的景況。,門前很冷清，沒什麼人來訪，賓客很少，也沒人聊天或買東西。
398,攀龍附鳳,"攀附著龍或鳳。比喻依仗有聲望的人。語本漢．揚雄《法言．淵騫》。後用「攀龍附鳳」比喻巴結權貴，以求晉升。
△「趨炎附勢」、「攀龍附驥」",比喻巴結權貴，以求晉升。貶義。,靠近有權有錢的人，用好話討好他們想得到好處或升官，帶負面意思。
399,易如反掌,"像翻轉手掌一般的容易。比喻事情非常容易做到。語本《孟子．公孫丑上》。
△「易若轉圜」",比喻事情非常容易做到。,表示做一件事像翻手掌一樣，很容易就能完成。
400,膾炙人口,膾，細切肉；炙，烤肉。膾、炙皆人間美味，「膾炙人口」指美味的食物人人愛吃，或比喻美妙的詩文為人所讚賞、傳誦。語出唐．林嵩〈周朴詩集序〉。後亦用「膾炙人口」比喻事物精妙而備受稱誦。,美味的食物人人愛吃。＆比喻美妙的詩文為人所讚賞、傳誦。褒義。＆比喻事物精妙而備受稱誦。褒義。,好吃的東西大家都愛吃，好的文章大家都喜歡傳給別人看。
401,趾高氣揚,走路時腳抬得很高，樣子顯得十分神氣。形容人驕傲自滿、得意忘形。＃語本《戰國策．齊策三》。,形容人驕傲自滿、得意忘形。多具貶義。,走路抬腳很高，樣子很得意，覺得自己很了不起，讓人不喜歡。
402,唾面自乾,當別人吐口水在臉上時，不擦拭而讓它自己乾掉的故事。比喻逆來順受，寬容忍讓。＃典出唐．劉餗《隋唐嘉話》卷下。,比喻逆來順受，寬容忍讓。,別人對你不好或罵你，你不回嘴、不反抗，忍著讓它過去
403,推心置腹,把赤忱之心推到人家肚子裡。比喻以至誠待人。＃語本《東觀漢記．卷一．光武帝紀》。,比喻以至誠待人。,把心裡的話和關心都拿出來，不藏著，真心對別人。
404,病入膏肓,膏，心下脂肪；肓，心臟和橫膈膜之間。中醫之「膏肓」即指心之下，膈之上的部位。膏肓相傳是身體內藥力所不及的地方。「病入膏肓」原指病位深隱難治，病情危重，無藥可救。典出《左傳．成公十年》。後用「病入膏肓」比喻人、事已到無可挽回的程度。,指人病重，無藥可救。 ＆比喻人、事已到無可挽回的程度。,病已經很嚴重，醫不好了；也用來說事已經救不回來。
405,蕭規曹隨,"漢代曹參繼蕭何為相國，舉事皆無所變更。＃典出《史記．卷五四．曹相國世家》。後用「蕭規曹隨」比喻後人依循前人所訂的規章辦事。
△「率由舊章」",比喻後人依循前人所訂的規章辦事。,照著前人訂的規矩和做法去辦事，不隨意改變原來的方式。
406,庸人自擾,"庸碌的人無端自尋煩惱。語本《舊唐書．卷八八．陸元方列傳》。
△「杞人憂天」。",比喻庸碌的人無端自尋煩惱。,會把小事想太多的人，常常沒必要自己煩惱、擔心。
407,緣木求魚,爬到樹上去抓魚。比喻用錯方法，徒勞無功。語出《孟子．梁惠王上》。,比喻用錯方法，徒勞無功。,用錯方法去做事，努力了也得不到想要的結果。
408,雙管齊下,手握雙管同時作畫。＃語本唐．朱景玄《唐朝名畫錄．神品下．張藻》。後用「雙管齊下」比喻同時採用兩種辦法來做事。,比喻同時採用兩種辦法來做事。,同時用兩種不同的方法來做一件事，讓事情更快完成。
409,一言九鼎,"九鼎，傳說中夏禹的傳國寶器。「一言九鼎」形容說話很有分量。語本《史記．卷七六．平原君虞卿列傳．平原君》。後亦用「一言九鼎」形容說話很有信用。
△「三寸不爛之舌」",形容說話很有分量。＆形容說話很有信用。,說話很有分量，別人都很相信他說的話，會聽他的。
410,自相矛盾,比喻言語或行事前後無法呼應，互相牴觸。◎典出《韓非子．難一》。,比喻言語或行事前後無法呼應，互相牴觸。,指說的話或做的事會互相衝突，前後不一致。
411,舉案齊眉,將放置飯菜的木盤高舉，與眉平齊，為東漢孟光對其夫梁鴻敬愛的表示。＃典出《東觀漢記．卷一八．梁鴻列傳》。後用「舉案齊眉」比喻夫妻相敬如賓。,比喻夫妻相敬如賓。褒義。,夫妻互相尊重、禮貌相待，像對待客人一樣喔。
412,閉門造車,"關起門來，按照一定的規格在家裡造車。比喻依循著一定的原則行事。＃語出《祖堂集．卷二○．五冠山瑞雲寺和尚》。後用「閉門造車」比喻凡事只憑主觀辦事，不問是否切合實際。
△「閉門造車，出門合轍」",比喻凡事只憑主觀辦事，不問是否切合實際。貶義。,只用自己的想法做事，不看需要和實際情況，常做不好。
413,歧路亡羊,岔路很多，因此而走失了一隻羊。比喻事理繁雜多變，求道者誤入迷途，而終無所成。典出《列子．說符》。,比喻事理繁雜多變，求道者誤入迷途，而終無所成。,路口太多容易迷路，找方法的人走錯路沒成功。
414,車水馬龍,門前車馬往來不絕。＃語本《東觀漢記．卷六．外戚列傳．明德馬皇后》。後用「車水馬龍」形容繁華熱鬧的景象。,形容繁華熱鬧的景象。,大街上車子來來回回，人多又熱鬧，很擠呢。
415,先發制人,凡事先下手取得先機，才能制伏對方。＃語本《史記．卷七．項羽本紀》。,凡事先下手取得先機，才能制伏對方。,先動作、先搶到機會，才能佔優勢打敗對方。
416,洛陽紙貴,"由於左思的〈三都賦〉，時人競相傳寫，因而洛陽為之紙貴。典出《晉書．卷九二．文苑列傳．左思》。後用「洛陽紙貴」形容著作風行一時，流傳甚廣。
△「都城紙貴」",形容作品風行一時，流傳甚廣。褒義。,說一本書或作品非常受歡迎，大家都想看，傳得很廣。
417,孤陋寡聞,寡，少。形容學識淺薄，見聞不廣。語出《禮記．學記》。,形容學識淺薄，見聞不廣。,學問很淺，平常沒看過也沒聽過很多事，知道的少。
418,滿腹經綸,"經綸，整理絲線，引申為規劃、治理。「滿腹經綸」形容才識豐富，具有處理大事的才能。※語或本《易經．屯卦．象》。
△「滿腹經籍」",形容才識豐富，具有處理大事的才能。,他肚子裡有很多知識和經驗，能冷靜處理重要的事情與決定。
419,飲鴆止渴,「飲鴆止渴」之「鴆」，典源作「酖」。「酖」通「鴆」。鴆，以鴆鳥羽毛浸製而成的毒酒。「飲鴆止渴」指飲毒酒以解渴。比喻只求解決眼前困難，而不顧將來更大的禍患。語本《後漢書．卷四八．楊李翟應霍爰徐列傳．霍諝》。,比喻只求解決眼前困難，而不顧將來更大的禍患。貶義。,為了立刻解決眼前問題，做出會讓以後更糟的事。
420,退避三舍,舍，古人以三十里為一舍。「退避三舍」指作戰時，將部隊往後撤退九十里。◎語本《左傳．僖公二十三年》。後用「退避三舍」比喻主動退讓，不與人相爭。,比喻主動退讓，不與人相爭。,主動退讓，不跟別人爭吵或打架，讓路給別人。
421,世外桃源,"與世隔絕，開滿桃花的安樂土。典出晉．陶潛〈桃花源記〉。後用「世外桃源」比喻風景優美而人跡罕至的地方。亦用於比喻心目中理想的世界。
△「豁然開朗」",比喻風景優美而人跡罕至的地方。＆比喻心目中理想的世界。,指一個和外面隔開、風景很美、人很少的安靜地方，也可指心中理想的世界。
422,水深火熱,"處在深水熱火中。比喻處境非常艱困、痛苦。語本《孟子．梁惠王下》。
△「火熱湯沸」、「簞食壺漿」",比喻處境非常艱困、痛苦。,人遇到非常困難、又受很多苦，覺得快撐不住。
423,假公濟私,假借公家的名義以謀取個人的私利。＃語本《漢書．卷六○．杜周傳》。,假借公家的名義以謀取個人的私利。,利用公家的名義做事，實際上是為了替自己或親友拿好處。
424,孤掌難鳴,一個巴掌難以拍出聲響。比喻人孤立無助，不能成事。語本《韓非子．功名》。,比喻人孤立無助，不能成事。,一個人單獨做事很難做好，需要別人幫忙和支持。
425,偃旗息鼓,"軍隊放倒旌旗，停止戰鼓。形容不露行蹤。語出《雲別傳》。後亦用「偃旗息鼓」比喻事情中斷或聲勢減弱。
△「偃兵息甲」、「鳴金收兵」",軍隊放倒旌旗，停止戰鼓。形容不露行蹤。＆比喻事情中斷或聲勢減弱。,軍隊收起旗鼓，不再出動，藏起行蹤；也表示事情停了或氣勢變弱。
426,妄自尊大,"狂妄地自尊自大。語出《後漢書．卷二四．馬援列傳》。
△「不修邊幅」、「夜郎自大」",狂妄地自尊自大。貶義。,以為自己很了不起，看不起別人，態度很高傲。
427,得心應手,心裡怎麼想，手便能怎麼做。比喻技藝熟練，運用自如。＃語本《莊子．天道》。  後亦用「得心應手」比喻做事順利。,比喻技藝熟練，運用自如。＆比喻做事順利。,做事很熟練，想怎麼做手就能做到，做起來很順利。
428,乘風破浪,"順著風，破浪前進。＃語本《宋書．卷七六．列傳．宗慤》。後亦用「乘風破浪」比喻人志向遠大，不畏艱難，奮勇前進。
△「披荊斬棘」",順著風，破浪前進。＆比喻人志向遠大，不畏艱難，奮勇前進。,像乘風破浪一樣，勇敢面對困難，努力往目標前進。
429,滿城風雨,滿城，到處都颳風下雨的景象。本指自然現象，這種現象多出現在重陽或晚春時節。※語或出宋．釋惠洪《冷齋夜話．卷四．滿城風雨近重陽》。後「滿城風雨」語義一轉，也用來指事情一經傳出，便流言四起，到處議論紛紛。,形容到處颳風下雨的景象。＆指事情一經傳出，便流言四起，到處議論紛紛。,本來說整個城市到處風雨；後來用來形容消息一出，大家到處議論。
430,敝帚自珍,自家的破舊掃把，卻珍愛如寶。比喻東西雖不好，卻因為是自己所擁有，故非常珍視。語本《東觀漢記．卷一．光武帝紀》。,比喻東西雖不好，卻因為是自己所擁有，故非常珍視。,雖然東西舊又破，但因為是自己所有，所以很珍惜。
431,兔死狗烹,"兔子死盡了，用來捕兔的獵狗因為失去了作用而被烹食。比喻事成之後，有功之人即遭到殺戮或見棄的命運。＃語本《淮南子．說林》。
△「鳥盡弓藏」、「鳥盡弓藏，兔死狗烹」",比喻事成之後，有功之人即遭到殺戮或見棄的命運。,事情做完以後，曾幫忙的人就會被丟棄或害死。
432,拋磚引玉,將磚拋出，引回玉來。※＃語或出《景德傳燈錄．卷一○．趙州觀音院從諗禪師》。後用「拋磚引玉」比喻自己先發表粗陋的詩文或不成熟的意見，以引出別人的佳作或高論，多用作自謙之詞。亦用於比喻以身作則，引發眾人響應。,比喻自己先發表粗陋的詩文或不成熟的意見，以引出別人的佳作或高論。多用作自謙之詞。＆比喻以身作則，引發眾人響應。,先說個簡單或不成熟的想法，讓別人提出更好的意見，或先做示範帶動大家一起做。
433,門庭若市,門庭間來往的人很多，像市集一般熱鬧。比喻上門來的人很多。語出《戰國策．齊策一》。,比喻上門來的人很多。,家門口每天都有很多人來，非常熱鬧像市集一樣。
434,殺身成仁,"為了成全仁德而犧牲生命。語出《論語．衛靈公》。後用「殺身成仁」指為正義或崇高的理想而犧牲生命。
△「捨生取義」",指為正義或崇高的理想而犧牲生命。,為了保護正義或重要信念，願意犧牲自己的生命。
435,一視同仁,同樣以博愛的仁心，對待所有的人及禽獸。語出唐．韓愈〈原人〉。後用「一視同仁」指平等待人，不分親疏厚薄。,指平等待人，不分親疏厚薄。,對每個人都一樣公平，不偏心，也不特別照顧或冷落任何人。
436,雪中送炭,在下雪天送炭給人取暖。比喻在人艱困危急之時，給予適時的援助。※語或本唐．釋德行《四字經．甲乙》。,比喻在人艱困危急之時，給予適時的援助。,在別人最需要幫忙的時候，馬上去幫他，不讓他受苦。
437,甘拜下風,下風，風所吹向的那方。「甘拜下風」指待在下邊，聽候吩咐。＃語本《左傳．僖公十五年》。後用「甘拜下風」表示自認不如，由衷佩服。,表示自認不如，由衷佩服。,甘拜下風表示我真心承認不如別人，對他很佩服。
438,無地自容,"沒地方可以藏身。形容羞愧至極。語本《史記．卷七七．魏公子列傳》。
△「容身無地」",形容羞愧至極。,覺得非常丟臉，連躲起來的地方都沒有，只想趕快藏起來。
439,過河拆橋,渡過了河就把橋拆掉。比喻不念舊情，忘恩負義。語出《元史．卷一四二．徹里帖木兒列傳》。,比喻不念舊情，忘恩負義。貶義。,有人得到別人幫忙後，忘記感恩又趕走幫忙的人。
440,前倨後恭,"先前傲慢無禮，後又謙卑恭敬。比喻待人勢利，態度轉變迅速。＃語出《戰國策．秦策一》。
△「引錐刺股」、「今恭昔慢」",比喻待人勢利，態度轉變迅速。貶義。,先對別人很驕傲、不禮貌，後來為了討好有權力的人而變得很恭敬。
441,弄巧成拙,本想賣弄才能、聰明，卻反而做了蠢事。比喻枉費心機。※語或出《五燈會元．卷三．江西馬祖道一禪師》。,比喻枉費心機。,想要顯得聰明，反而把事情弄糟了，白費力氣。
442,噤若寒蟬,噤，閉口不作聲。「噤若寒蟬」指像寒冷季節時的蟬，一聲不響。比喻不敢說話。語本《後漢書．卷六七．黨錮列傳．杜密》。,比喻不敢說話。,在別人面前因為害怕或擔心被責怪而不敢出聲或說話
443,瓜田李下,在瓜田裡不彎身穿鞋，在李樹下不舉手整理帽子。語本無名氏〈君子行〉。後用「瓜田李下」比喻容易引起懷疑的場合。,比喻容易引起懷疑的場合。,指在容易被人懷疑的地方，要避免做會讓人誤會的事。
444,望塵莫及,"只能遠望前面車馬揚起的塵土，而無法趕得上。比喻遠遠落在他人之後。＃語本《莊子．田子方》。
△「失之交臂」、「亦步亦趨」、「奔逸絕塵」、「瞠乎其後」",比喻遠遠落在他人之後。,形容落在別人很後面，追不上他們，只能看著別人走遠。
445,半途而廢,"「半途而廢」之「途」，典源作「塗」。事情沒做成功就停止。比喻做事情有始無終。語本《禮記．中庸》。
△「中道而廢」",比喻做事情有始無終。,開始做一件事，做到一半就放棄，不把它做完。
446,一籌莫展,籌，計策、計謀。「一籌莫展」指一點計策也施展不出來。比喻毫無辦法。語本《宋史．卷四三四．儒林列傳．蔡幼學》。,比喻毫無辦法。,遇到難題，完全想不出辦法，不知道該怎麼做。
447,抱薪救火,"抱著木柴去救火，比喻處理事情的方法錯誤，既無法達成目的，反而情勢更為惡劣。比喻用錯方法，而致禍害加深。＃語出《戰國策．魏策三》。
△「潑油救火」",比喻用錯方法，而致禍害加深。貶義。,用錯方法想幫忙，結果把事情弄得更糟、更難收拾。
448,大器晚成,貴重的器物需要長時間才能完成。＃語出《老子》第四一章。後用「大器晚成」比喻卓越的人才往往成就較晚。,比喻卓越的人才往往成就較晚。,有些人要花比較久的時間學習和練習，到了比較晚才有大成就。
449,莫逆之交,莫逆，相契而無所違逆。「莫逆之友」指心意相投的朋友。語本《莊子．大宗師》。,心意相投的朋友。,跟你想法一樣、做事合得來、彼此很懂對方的好朋友。
450,按圖索驥,按照前人所畫的圖象，去尋求當代的良馬。比喻做事拘泥成規，呆板不知變通。語本《漢書．卷六七．楊胡米梅云傳．梅福》。後亦用「按圖索驥」比喻按照所掌握的線索辦事。,比喻做事拘泥成法，呆板不知變通。 ＆比喻按照所掌握的線索辦事。,照著別人畫的圖去找馬，比喻做事太死板或按線索辦事。
451,強弩之末,「強弩之末」之「強」，典源作「彊」。「彊」同「強」。強勁弓弩所射出的箭，到射程盡頭，已經沒有力道。比喻原本強大的力量已經衰竭，不能再發揮效用。＃語本《史記．卷一○八．韓長孺列傳》。,比喻原本強大的力量已經衰竭，不能再發揮效用。,本來很有力量的東西，到最後力氣用盡，發揮不了作用。
452,一網打盡,"用網子全部抓住。典出《呂氏春秋．孟冬紀．異用》。後用「一網打盡」比喻排斥異己，不留孑遺。
△「網開一面」",用網子全部抓住。＆比喻排斥異己，不留孑遺。,把所有人或東西一次抓乾淨，連一個都不留著。
453,蜀犬吠日,"蜀地的狗看見了日出，便對著太陽狂叫。＃語本唐．岑參〈招北客文〉。後用「蜀犬吠日」形容人少見多怪。
△「蜀日越雪」、「粵犬吠雪」",形容人少見多怪。,看到平常東西覺得很奇怪，會大叫或很害怕。
454,曲突徙薪,"將煙囪改彎，把柴薪移走。＃典出漢．劉向《說苑．卷一三．權謀》。後用「曲突徙薪」比喻事先採取措施，以防止危險發生。
△「有備無患」",比喻事先採取措施，以防止危險發生。,事先把可能引發危險的東西移開或改好，避免發生意外。
455,矯枉過正,糾正偏差超過適切程度，反而不符合中庸之道。＃語本《越絕書．卷一五．越絕篇敘外傳記十九》。,糾正偏差超過適切程度，反而不符合中庸之道。,把原本要改的錯處管得太過頭，反而變成另一種不對。
456,吳牛喘月,吳地的水牛見到月亮以為是太陽，因此便自以為熱，氣喘不已。＃語本漢．應劭《風俗通義．佚文》。後來也用「吳牛喘月」轉而比喻人見到曾受其害的類似事物，而過分驚懼害怕。也用來形容天氣酷熱。,比喻人見到曾受其害的類似事物而過分驚懼害怕。＆形容天氣酷熱。,看到曾經傷害自己的東西就過度驚慌害怕；也可形容天氣熱得喘不過氣，熱得受不了。
457,居安思危,處於安樂的時候，要想到危險可能會隨時出現。語出《左傳．襄公十一年》所引之《書》。,處於安樂的時候，要想到危險可能隨時出現。,在舒服安全的時候，也要想到可能會出現的危險，早做準備。
458,賓至如歸,客人來到這裡就好像回到自己的家裡。語出《左傳．襄公三十一年》。後用「賓至如歸」形容主人招待周到親切，使客人感到滿意。,形容主人招待周到親切，使客人感到滿意。,主人很熱情招待，客人覺得像回到自己家，很舒服。
459,不恥下問,"不以向身分較低微或是學問較自己淺陋的人求教為羞恥。語出《論語．公冶長》。
△「不媿下學」、「無惡下問」",不以向身分較低微或是學問較自己淺陋的人求教為羞恥。褒義。,不會因為別人地位或學問比自己低，就害羞不敢問，會向任何人請教。
460,不可救藥,病重無藥可醫治。比喻到了無法挽救的地步。語出《詩經．大雅．板》。,病重無藥可醫治。＆比喻到了無法挽救的地步。,說人病到沒藥治，或事情已經沒辦法救回了。
461,河東獅吼,"比喻妻子凶悍發威。＃語出宋．蘇軾〈寄吳德仁兼簡陳季常〉詩。
△「季常之癖」",比喻妻子凶悍發威。,說的是老婆很兇，常對老公大聲吼叫、發脾氣。
462,手舞足蹈,揮手舉足，舞動跳躍。＃語本《詩經．大序》。後亦用「手舞足蹈」形容高興到了極點。,揮手舉足，舞動跳躍。＆形容高興到了極點。,高興到手腳不停揮動，跳來跳去，笑得很開心。
463,愛屋及烏,因愛一個人，連帶地也愛護停留在他屋上的烏鴉。比喻愛一個人也連帶地關愛與他有關的一切。＃語本《尚書大傳．卷三．大戰篇》。,比喻愛一個人也連帶地關愛與他有關的一切。,因為喜歡一個人，也會連帶照顧或喜歡跟他有關的人和東西。
464,不脛而走,"「不脛而走」之「脛」，典源作「足」。脛，小腿。「不脛而走」指沒有腿也能去。＃語本《韓詩外傳》卷六。後用「不脛而走」比喻事物不用推廣，也能迅速傳播。
△「不翼而飛」",比喻事物不用推廣，也能迅速傳播。,消息或事情不用人推，也能自己很快傳開到每個人那裡。
465,大義滅親,指為了維護公理正義，不徇私情，滅了犯罪的親人，或讓他們接受法律制裁。語出《左傳．隱公四年》,比喻為了維護公理正義，不徇私情，滅了犯罪的親人，或讓他們接受法律制裁。褒義。,為了維護公平正義，不偏心，連犯錯的親人也要接受法律處罰。
466,越俎代庖,俎，禮器。「越俎代庖」本指擔任主祭的人，超越職責，代替廚師下廚。用來比喻踰越職分代人辦事。語本《莊子．逍遙遊》。,比喻踰越職分代人辦事。,別人本來要做的事，你自己亂去做，搶了別人的位子。
467,水滴石穿,"滴水久了可使石穿。比喻持之以恆，事必有成。語本《尸子》。後亦用「水滴石穿」比喻小問題日積月累也會成為大問題。
△「繩鋸木斷」",滴水久了可使石穿。＆比喻持之以恆，事必有成。,長時間不停做一件小事，最後會有大成果。小問題一直不處理，也會變成大問題。
468,炙手可熱,手一靠近就覺得很熱。比喻地位尊貴，勢燄熾盛。＃語出唐．裴庭裕《東觀奏記》卷中。後亦用「炙手可熱」比喻廣受歡迎，名聲極盛。,比喻地位尊貴，勢燄熾盛。＆比喻廣受歡迎，名聲極盛。,形容一個人很有地位、很有影響力，或非常受歡迎、很有名
469,因噎廢食,「因噎廢食」之「噎」，典源作「饐」。「饐」同「噎」。因為怕噎死，而不再吃東西。比喻曾經出過差錯，唯恐再錯而不去做該做的事。語本《呂氏春秋．孟秋紀．蕩兵》。,比喻曾經出過差錯，唯恐再錯而不去做該做的事。,因為曾經出過錯就害怕再犯，反而不敢做應該做的事。
470,草菅人命,菅，一種多年生的野草。「草菅人命」比喻輕視人命，任意加以殘害。＃語本《大戴禮記．保傅》。,比喻輕視人命，任意加以殘害。貶義。,把人的生命像草一樣輕視，隨意傷害或殺人。
471,排難解紛,排除危難，解決紛爭。語本《戰國策．趙策三》。,指排除危難，解決紛爭。,幫別人解除危險和爭執，讓事情回到平靜，不再造成麻煩
472,如魚得水,"(一)像魚得游於水。如魚游水之姿，比喻筆法的靈活。語本秦．李斯〈用筆法〉。
(二)像魚得游於水。如魚得水之樂，比喻得到志同道合的人或適合於自己發展的環境。語本《三國志．卷三五．蜀書．諸葛亮傳》。
(三)像魚得游於水。如魚和水之親密，比喻兩人間情愛親密。※語或出《喻世明言．卷三．新橋市韓五賣春情》。",比喻得到與自己志同道合的人或適合於自己發展的環境。＆比喻兩人間情愛親密。,像魚找到水，遇到合適的環境或好朋友，做事很順利，也可指兩人很親密。
473,流芳百世,"美名流傳後世、為人所稱頌。※＃語或本《三國志．卷五．魏書．后妃傳．文德郭皇后傳》。
△「千載流芳」、「垂芳千載」、「萬古流芳」",美名流傳後世為人所稱頌。褒義。,好名聲被後代長久記住，大家一直稱讚、尊敬他。
474,眾志成城,"眾人同心，力量堅固如城。比喻團結一致，同心協力。語本《國語．周語下》。
△「眾口鑠金」",比喻團結一致，同心協力。,大家齊心合作，力量像城牆一樣牢固，難以被打敗。
475,管中窺豹,"從管中只看見豹的一小部分。比喻所見甚小，未得全貌。※＃語或本南朝宋．劉義慶《世說新語．方正》。
△「以管窺天」、「管窺蠡測」",比喻所見甚小，未得全貌。,你只看到一小部分，沒有看清整個情況，很容易判斷錯誤或誤會。
476,南柯一夢,淳于棼夢中出任南柯太守，歷盡人生窮通榮辱，醒來才知道是一場夢。典出唐．李公佐《南柯太守傳》。後用「南柯一夢」比喻人生如夢，富貴得失無常。,比喻人生如夢，富貴得失無常。,說一個人夢裡當了官、過好日子，醒來才發現全是夢，富貴會變。
477,束之高閣,把東西捆起來，放置於閣樓上。比喻棄置不用。＃語出晉．習鑿齒《漢晉春秋》。,比喻棄置不用。,把不用的東西綁好放到閣樓或角落，長久不拿出來用。
478,忍辱負重,忍受屈辱怨謗而承擔重任。語出《三國志．卷五八．吳書．陸遜傳》。,忍受屈辱怨謗而承擔重任。,忍受別人罵你、對你不好，仍然扛起重要又辛苦的責任。
479,臥薪嘗膽,越王句踐躺臥在柴薪上，不時舔嘗苦膽，以警惕自己不忘所受的屈辱。比喻刻苦自勵，發奮圖強。典出《史記．卷四一．越王句踐世家》。,比喻刻苦自勵，發奮圖強。,為了記住受過的屈辱，努力學習和練習，天天提醒自己變強。
480,買櫝還珠,買了裝珍珠的盒子，而把珍珠退還。典出《韓非子．外儲說左上》。後用「買櫝還珠」比喻捨本逐末，取捨失當。,比喻捨本逐末，取捨失當。,把有用的東西丟掉，留下沒用的外殼，選錯重點很可惜
481,不求甚解,讀書著重理解義理，而不過度鑽研字句上的解釋。＃語出晉．陶潛〈五柳先生傳〉。後亦用「不求甚解」形容學習或工作的態度不認真，只求略懂皮毛而不深入理解。,讀書著重理解義理，而不過度鑽研字句上的解釋。＆形容學習或工作的態度不認真，只求略懂皮毛而不深入理解。,上課或做功課只想知道大概，不把細節弄清楚。
482,青黃不接,青，指還沒成熟的綠色禾苗；黃，指舊有的黃熟穀物。「青黃不接」指新穀還沒成熟，存糧又已吃完。※語或本宋．歐陽修〈言青苗錢第二劄子〉。後用「青黃不接」比喻有所匱乏，一時難以為繼。,指新穀還沒成熟，存糧又已吃完。＆比喻有所匱乏，一時難以為繼。,新的稻子還沒收成，舊的米已經吃光，短時間會很難過日子。
483,自慚形穢,因容貌儀態不如別人而感覺羞愧。語本南朝宋．劉義慶《世說新語．容止》。後用「自慚形穢」泛指與人相比自愧不如。,泛指與人相比自愧不如。,覺得自己比別人差，心裡難過又很不好意思。
484,急如星火,如流星的光那樣急速，形容情勢急迫。＃語本晉．李密〈陳情表〉。,形容情勢急迫。,事情很急，要馬上處理，不能再拖延，時間不夠。
485,背道而馳,"行為不合情理，做事違反正道。※＃語或本唐．白居易〈為人上宰相書〉。後用「背道而馳」比喻彼此的目標或理想完全相反。
△「南轅北轍」",比喻彼此的目標或理想完全相反。,兩邊朝完全相反方向做事，目標會互相衝突，不能一起成功。
486,同舟共濟,"同乘一條船渡河，比喻同心協力，戰勝困難。語本《孫子．九地》。
△「風雨同舟」",比喻同心協力，戰勝困難。,大家坐在同一條船上，互相幫忙，合力渡過難關。
487,披星戴月,「披星戴月」之「戴」，典源作「帶」。頂著星月而走，形容早出晚歸、連夜趕路或工作備極勞累。語本唐．呂巖〈七言〉詩其四四。,形容早出晚歸、連夜趕路或工作備極勞累。,從天沒亮就出門，一直做到天黑才回家，很累很辛苦。
488,相敬如賓,形容夫妻間相處融洽，互相敬愛。＃語本《左傳．僖公三十三年》。,形容夫妻間相處融洽，互相敬愛。褒義。,夫妻互相尊重、禮貌相處，感情溫暖又互相關心。
489,鶴立雞群,鶴站在雞群之中，非常突出。比喻人的儀表才能超群脫凡。＃語本晉．戴逵〈竹林七賢論〉。後亦用「鶴立雞群」比喻事物的不平凡。,比喻人的儀表才能超群脫凡。褒義。＆比喻事物的不平凡。,說一個人在外表或能力上很突出，跟別人不一樣，很容易被注意到。
490,格格不入,"格格，阻礙，隔閡。比喻抵觸阻隔而不相合。語本宋．陸九淵〈與徐子宜書〉其二。
△「方枘圓鑿」",比喻抵觸阻隔而不相合。,跟別人想法或做法不合，無法融入同一群體或環境。
491,山窮水盡,指水陸交通阻斷，無法通行。※語或本北周．庾信〈周兗州刺史廣饒公宇文公神道碑〉。後用「山窮水盡」比喻走投無路，陷入絕境。,水陸交通阻斷，無法通行。＆比喻走投無路，陷入絕境。,前面山擋住沒路，河又過不去，完全沒有路可以走或逃。
